feature,horizon,corr,slope
trade_count,1,,
trade_count,2,,
trade_count,3,,
trade_count,5,,
trade_count,10,,
trade_count,20,,
trade_count,50,,
trade_count,100,,
trade_count,200,,
trade_count,500,,
trade_count,1000,,
total_qty,1,-0.005723743795146589,-0.00859375
total_qty,2,-0.04561564844285171,-0.09140624999999998
total_qty,3,-0.014246961108299764,-0.03124999999999998
total_qty,5,-0.007629192099656486,-0.02187499999999999
total_qty,10,0.05268898927879109,0.21250000000000002
total_qty,20,0.014915313445330843,0.08046875
total_qty,50,-0.00868869245101329,-0.07601087463734313
total_qty,100,0.055125016467501044,0.666139240506329
total_qty,200,-0.013164378347379298,-0.21705492172990185
total_qty,500,-0.03261117884554836,-0.7121487959528588
total_qty,1000,0.05664747183031704,1.6017857142857141
signed_qty,1,-0.007008988986355073,-0.0035577859551439287
signed_qty,2,-0.10301687346355567,-0.06978985776895726
signed_qty,3,-0.07888989623631369,-0.058502048935564155
signed_qty,5,-0.03638732497434639,-0.035272931080422995
signed_qty,10,0.029169651263593787,0.03977335373080845
signed_qty,20,-0.02670941027795178,-0.048717060834091316
signed_qty,50,-0.03373368313539808,-0.0995027228002519
signed_qty,100,0.06910738066617687,0.282343889184769
signed_qty,200,0.14824255139085063,0.8228615245827695
signed_qty,500,0.22796394118073815,1.671161351019349
signed_qty,1000,0.154796242642398,1.4718122337188073
avg_trade_vs_mid,1,0.00030376726619486556,8.313770374997786e-05
avg_trade_vs_mid,2,-0.07831822592213476,-0.028607466834233104
avg_trade_vs_mid,3,-0.06810060790559758,-0.027229100466739743
avg_trade_vs_mid,5,-0.0185125196335146,-0.009675859782419619
avg_trade_vs_mid,10,0.022196138157569868,0.016318153301251314
avg_trade_vs_mid,20,-0.034904334631358065,-0.03432643935905836
avg_trade_vs_mid,50,-0.04815024826242761,-0.07668595117039258
avg_trade_vs_mid,100,0.07265651039800258,0.1599132389097288
avg_trade_vs_mid,200,0.14065947552340669,0.42173034065109377
avg_trade_vs_mid,500,0.23709131584054238,0.9419860121375573
avg_trade_vs_mid,1000,0.12891399494321587,0.6589034685207584
