feature,horizon,corr,slope
trade_count,1,,
trade_count,2,,
trade_count,3,,
trade_count,5,,
trade_count,10,,
trade_count,20,,
trade_count,50,,
trade_count,100,,
trade_count,200,,
trade_count,500,,
trade_count,1000,,
total_qty,1,-0.019288843740644882,-0.029126473740621644
total_qty,2,-0.022066848851761307,-0.042336548767416965
total_qty,3,-0.036803870846889825,-0.08716505894962492
total_qty,5,-0.04592437563405267,-0.14474812433011794
total_qty,10,0.014033105448345684,0.06366559485530549
total_qty,20,-0.020137741860936125,-0.1277331189710611
total_qty,50,0.01451926682373237,0.13890675241157568
total_qty,100,0.014206148530443947,0.18394962486602348
total_qty,200,0.051178793241816414,0.8782726838761793
total_qty,500,-0.0006982455381279214,-0.015724259767917474
total_qty,1000,-0.09629898764859805,-2.8181475939049987
signed_qty,1,-0.13918212430795002,-0.07053337893847328
signed_qty,2,-0.1330693821479848,-0.08568065671401552
signed_qty,3,-0.10770402766416018,-0.08560721902539134
signed_qty,5,-0.08416478077776415,-0.08902861051869139
signed_qty,10,-0.04279861729799483,-0.06516437970303005
signed_qty,20,-0.07373782715200727,-0.1569685324534224
signed_qty,50,-0.060199402084246366,-0.19328598446742587
signed_qty,100,-0.042899738339693544,-0.18642609955333783
signed_qty,200,-0.09542710071127367,-0.5522249456133685
signed_qty,500,-0.12131103526554506,-0.9148924572368972
signed_qty,1000,-0.10376746703585532,-1.0169951157515167
avg_trade_vs_mid,1,-0.10837499016343927,-0.029113163678508577
avg_trade_vs_mid,2,-0.12749261371715156,-0.04351497848102161
avg_trade_vs_mid,3,-0.0825542794710931,-0.03478300813410316
avg_trade_vs_mid,5,-0.06635160474492603,-0.03720486491452478
avg_trade_vs_mid,10,-0.05089150252825523,-0.04107474753185445
avg_trade_vs_mid,20,-0.07741097560133843,-0.08735221161388804
avg_trade_vs_mid,50,-0.08973003978327701,-0.1527197303237387
avg_trade_vs_mid,100,-0.07479555485809161,-0.17229670042331258
avg_trade_vs_mid,200,-0.11433763098671146,-0.3500466950198719
avg_trade_vs_mid,500,-0.10824534400888502,-0.43267598208044633
avg_trade_vs_mid,1000,-0.1037995180382751,-0.5367838036057591
